"","age","gender","white","nrsk1","nrsk2","nrsk3","nrsk4","nben1","nben2","nben3","nben4","rskben","plantSite","plantNew","morePlants","college","grad","ideology","democrat","republican","con","liberal","year"
"244",80,1,0,8,8,5,5,10,8,8,10,4,6,6,6,NA,NA,7,0,1,1,0,2006
"245",50,0,1,6,7,4,2,7,7,7,7,3,1,1,1,0,0,4,1,0,0,0,2006
"246",46,1,1,7,7,7,7,10,10,10,10,5,7,1,4,0,0,2,1,0,0,1,2006
"247",55,0,1,10,10,10,10,NA,NA,NA,NA,4,1,1,1,1,0,2,1,0,0,1,2006
"248",54,1,1,2,2,2,3,6,6,6,2,5,6,4,5,1,1,5,0,1,1,0,2006
"249",56,0,1,10,10,10,10,10,10,10,10,4,7,1,4,0,0,3,1,0,0,1,2006
"250",59,0,1,10,10,10,10,NA,NA,10,10,1,1,1,1,0,0,6,0,1,1,0,2006
"251",40,0,1,8,8,10,6,7,7,10,7,4,3,1,2,0,0,4,1,0,0,0,2006
"252",69,0,1,5,5,7,5,7,7,6,7,5,NA,4,NA,0,0,5,0,1,1,0,2006
"253",73,0,1,3,4,3,5,10,10,10,10,7,7,7,7,0,0,2,1,0,0,1,2006
"254",53,0,1,8,8,8,8,5,5,5,5,3,2,2,2,0,0,5,1,0,1,0,2006
"255",47,0,1,10,10,10,8,1,4,5,7,4,1,1,1,0,0,7,0,1,1,0,2006
"256",31,1,1,4,6,6,5,8,8,8,6,5,5,3,4,1,0,5,NA,NA,1,0,2006
"257",18,0,0,8,8,10,4,7,4,7,7,5,6,4,5,0,0,3,1,0,0,1,2006
"258",59,0,1,8,10,10,8,8,8,6,3,3,6,6,6,1,0,2,1,0,0,1,2006
"259",24,1,1,10,10,10,10,6,4,7,6,1,1,1,1,0,0,1,1,0,0,1,2006
"260",70,1,1,1,7,10,1,10,10,10,10,7,5,7,6,0,0,5,0,1,1,0,2006
"261",51,0,1,1,1,1,1,8,8,8,8,6,6,6,6,1,0,5,0,1,1,0,2006
"262",41,0,1,10,10,10,10,7,7,8,7,5,3,3,3,1,0,2,1,0,0,1,2006
"263",35,0,0,2,3,3,5,8,5,8,8,5,5,7,6,0,0,7,0,1,1,0,2006
"264",26,0,1,3,5,7,5,5,5,8,8,5,4,2,3,0,0,2,1,0,0,1,2006
